"","country","result.taxonid","species","result.subspecies","result.rank","result.subpopulation","result.category","acceptedName"
"40","us",47141354,"Acanthemblemaria harpeza",NA,NA,NA,"DD","Acanthemblemaria harpeza"
"41","us",22725044,"Acanthis flammea",NA,NA,NA,"LC","Acanthis flammea"
"42","us",152925,"Acanthocereus tetragonus",NA,NA,NA,"LC","Cereus fernambucensis"
"43","us",190341,"Acanthochaenus luetkenii",NA,NA,NA,"LC","Acanthochaenus luetkenii"
"44","us",170331,"Acanthocybium solandri",NA,NA,NA,"LC","Acanthocybium solandri"
"45","us",181137,"Acanthogobius flavimanus",NA,NA,NA,"LC","Acanthogobius flavimanus"
"46","us",83,"Acanthomyops latipes",NA,NA,NA,"VU","Acanthomyops latipes"
"47","us",40729,"Acanthomyops murphii",NA,NA,NA,"VU","Acanthomyops murphyi"
"48","us",193646,"Acanthostracion polygonius",NA,NA,NA,"LC","Acanthostracion polygonius"
"49","us",193647,"Acanthostracion quadricornis",NA,NA,NA,"LC","Acanthostracion quadricornis"
"50","us",80702763,"Acanthothecis leucoxanthoides",NA,NA,NA,"CR",NA
"51","us",80702772,"Acanthothecis paucispora",NA,NA,NA,"CR",NA
"52","us",177960,"Acanthurus achilles",NA,NA,NA,"LC","Acanthurus achilles"
"53","us",177971,"Acanthurus blochii",NA,NA,NA,"LC","Acanthurus blochii"
"54","us",177982,"Acanthurus chirurgus",NA,NA,NA,"LC","Acanthurus chirurgus"
"55","us",177953,"Acanthurus coeruleus",NA,NA,NA,"LC","Acanthurus coeruleus"
"56","us",177981,"Acanthurus dussumieri",NA,NA,NA,"LC","Acanthurus dussumieri"
"57","us",177995,"Acanthurus guttatus",NA,NA,NA,"LC","Acanthurus guttatus"
"58","us",178011,"Acanthurus leucopareius",NA,NA,NA,"LC","Acanthurus leucopareius"
"59","us",177969,"Acanthurus nigricans",NA,NA,NA,"LC","Acanthurus nigricans"
"60","us",177999,"Acanthurus nigroris",NA,NA,NA,"LC","Acanthurus nigroris"
"61","us",177991,"Acanthurus olivaceus",NA,NA,NA,"LC","Acanthurus olivaceus"
"62","us",178008,"Acanthurus thompsoni",NA,NA,NA,"LC","Acanthurus thompsoni"
"63","us",47139706,"Acanthurus tractus",NA,NA,NA,"LC","Acanthurus bahianus"
"64","us",177965,"Acanthurus triostegus",NA,NA,NA,"LC","Acanthurus triostegus"
"65","us",177989,"Acanthurus xanthopterus",NA,NA,NA,"LC","Acanthurus xanthopterus"
"66","us",22695656,"Accipiter cooperii",NA,NA,NA,"LC","Accipiter cooperii"
"67","us",22695683,"Accipiter gentilis",NA,NA,NA,"LC","Accipiter gentilis"
"68","us",22734130,"Accipiter striatus",NA,NA,NA,"LC","Accipiter striatus"
"69","us",69618813,"Acella haldemani",NA,NA,NA,"NT","Acella haldemani"
"70","us",46107486,"Acentronura dendritica",NA,NA,NA,"LC","Amphelikturus dendriticus"
"71","us",193533,"Acer circinatum",NA,NA,NA,"LC","Acer circinatum"
"72","us",103451747,"Acer drummondi",NA,NA,NA,"LC","Acer rubrum"
"73","us",103451786,"Acer floridanum",NA,NA,NA,"LC","Acer barbatum"
"74","us",193546,"Acer glabrum",NA,NA,NA,"LC","Acer glabrum"
"75","us",103451869,"Acer grandidentatum",NA,NA,NA,"LC","Acer grandidentatum"
"76","us",103451921,"Acer leucoderme",NA,NA,NA,"LC","Acer leucoderme"
"77","us",193830,"Acer macrophyllum",NA,NA,NA,"LC","Acer macrophyllum"
"78","us",62940,"Acer negundo",NA,NA,NA,"LC","Acer negundo"
"79","us",61961045,"Acer nigrum",NA,NA,NA,"LC","Acer nigrum"
"80","us",193849,"Acer pensylvanicum",NA,NA,NA,"LC","Acer pensylvanicum"
"81","us",193853,"Acer platanoides",NA,NA,NA,"LC","Acer platanoides"
"82","us",193860,"Acer rubrum",NA,NA,NA,"LC","Acer rubrum"
"83","us",193862,"Acer saccharinum",NA,NA,NA,"LC","Acer saccharinum"
"84","us",193863,"Acer saccharum",NA,NA,NA,"LC","Acer saccharum"
"85","us",193872,"Acer spicatum",NA,NA,NA,"LC","Acer spicatum"
"86","us",167,"Achatinella abbreviata",NA,NA,NA,"EX","Achatinella abbreviata"
"87","us",168,"Achatinella apexfulva",NA,NA,NA,"CR","Achatinella apexfulva"
"88","us",169,"Achatinella bellula",NA,NA,NA,"CR","Achatinella bellula"
"89","us",170,"Achatinella buddii",NA,NA,NA,"EX","Achatinella buddii"
"90","us",171,"Achatinella bulimoides",NA,NA,NA,"CR","Achatinella bulimoides"
"91","us",172,"Achatinella byronii",NA,NA,NA,"CR","Achatinella byronii"
"92","us",173,"Achatinella caesia",NA,NA,NA,"EX","Achatinella caesia"
"93","us",174,"Achatinella casta",NA,NA,NA,"EX","Achatinella casta"
"94","us",175,"Achatinella cestus",NA,NA,NA,"CR","Achatinella cestus"
"95","us",176,"Achatinella concavospira",NA,NA,NA,"CR","Achatinella concavospira"
"96","us",177,"Achatinella curta",NA,NA,NA,"CR","Achatinella curta"
"97","us",178,"Achatinella decipiens",NA,NA,NA,"CR","Achatinella decipiens"
"98","us",179,"Achatinella decora",NA,NA,NA,"EX",NA
"99","us",180,"Achatinella dimorpha",NA,NA,NA,"EX","Achatinella dimorpha"
"100","us",181,"Achatinella elegans",NA,NA,NA,"EX","Achatinella elegans"
"101","us",182,"Achatinella fulgens",NA,NA,NA,"CR","Achatinella fulgens"
"102","us",183,"Achatinella fuscobasis",NA,NA,NA,"CR","Achatinella fuscobasis"
"103","us",184,"Achatinella juddii",NA,NA,NA,"EX","Achatinella juddii"
"104","us",185,"Achatinella juncea",NA,NA,NA,"EX","Achatinella juncea"
"105","us",186,"Achatinella lehuiensis",NA,NA,NA,"EX","Achatinella lehuiensis"
"106","us",209,"Achatinella leucorrhaphe",NA,NA,NA,"CR","Achatinella leucorraphe"
"107","us",188,"Achatinella lila",NA,NA,NA,"CR","Achatinella lila"
"108","us",189,"Achatinella livida",NA,NA,NA,"EX","Achatinella livida"
"109","us",190,"Achatinella lorata",NA,NA,NA,"CR",NA
"110","us",191,"Achatinella mustelina",NA,NA,NA,"CR","Achatinella mustelina"
"111","us",192,"Achatinella papyracea",NA,NA,NA,"EX","Achatinella papyracea"
"112","us",193,"Achatinella phaeozona",NA,NA,NA,"CR","Achatinella phaeozona"
"113","us",194,"Achatinella pulcherrima",NA,NA,NA,"CR","Achatinella pulcherrima"
"114","us",195,"Achatinella pupukanioe",NA,NA,NA,"CR",NA
"115","us",197,"Achatinella sowerbyana",NA,NA,NA,"CR","Achatinella sowerbyana"
"116","us",198,"Achatinella spaldingi",NA,NA,NA,"EX",NA
"117","us",199,"Achatinella stewartii",NA,NA,NA,"CR",NA
"118","us",200,"Achatinella swiftii",NA,NA,NA,"CR","Achatinella swiftii"
"119","us",201,"Achatinella taeniolata",NA,NA,NA,"CR",NA
"120","us",202,"Achatinella thaanumi",NA,NA,NA,"EX","Achatinella thaanumi"
"121","us",203,"Achatinella turgida",NA,NA,NA,"CR","Achatinella turgida"
"122","us",204,"Achatinella valida",NA,NA,NA,"EX","Achatinella valida"
"123","us",205,"Achatinella viridans",NA,NA,NA,"CR","Achatinella viridans"
"124","us",207,"Achatinella vulpina",NA,NA,NA,"CR",NA
"125","us",202909,"Achillea millefolium",NA,NA,NA,"LC","Achillea millefolium"
"126","us",193273,"Achirus lineatus",NA,NA,NA,"LC","Achirus lineatus"
"127","us",44074,"Achyranthes atollensis",NA,NA,NA,"EX","Achyranthes atollensis"
"128","us",44075,"Achyranthes mutica",NA,NA,NA,"CR","Achyranthes mutica"
"129","us",44145,"Achyranthes splendens",NA,NA,NA,"VU","Achyranthes splendens"
"130","us",222,"Acipenser brevirostrum",NA,NA,NA,"VU","Acipenser brevirostrum"
"131","us",223,"Acipenser fulvescens",NA,NA,NA,"LC","Acipenser fulvescens"
"132","us",233,"Acipenser medirostris",NA,NA,NA,"NT","Acipenser medirostris"
"133","us",245,"Acipenser oxyrinchus",NA,NA,NA,"NT","Acipenser oxyrinchus"
"134","us",234,"Acipenser transmontanus",NA,NA,NA,"LC","Acipenser transmontanus"
"135","us",168639,"Acorus calamus",NA,NA,NA,"LC","Acorus calamus"
"136","us",22710921,"Acridotheres tristis",NA,NA,NA,"LC","Acridotheres tristis"
"137","us",55286,"Acris crepitans",NA,NA,NA,"LC","Acris crepitans"
"138","us",55287,"Acris gryllus",NA,NA,NA,"LC","Acris gryllus"
"139","us",22714797,"Acrocephalus familiaris",NA,NA,NA,"CR","Acrocephalus familiaris"
"140","us",201940,"Acrocheilus alutaceus",NA,NA,NA,"LC","Acrocheilus alutaceus"
"141","us",314,"Acrolophitus pulchellus",NA,NA,NA,"VU","Acrolophitus pulchellus"
"142","us",315,"Acroloxus coloradensis",NA,NA,NA,"NT","Acroloxus coloradensis"
"143","us",155234,"Acromycter perturbator",NA,NA,NA,"LC","Acromycter perturbator"
"144","us",133381,"Acropora cervicornis",NA,NA,NA,"CR","Acropora cervicornis"
"145","us",133006,"Acropora palmata",NA,NA,NA,"CR","Acropora palmata"
"146","us",177110,"Acrostichum aureum",NA,NA,NA,"LC","Acrostichum aureum"
"147","us",178810,"Acrostichum danaeifolium",NA,NA,NA,"LC","Acrostichum danaeifolium"
"148","us",4969,"Actinemys marmorata",NA,NA,NA,"VU","Actinemys marmorata"
"149","us",189504,"Actinonaias ligamentina",NA,NA,NA,"LC","Actinonaias ligamentina"
"150","us",511,"Actinonaias pectorosa",NA,NA,NA,"LR/nt","Actinonaias pectorosa"
"151","us",180353,"Actinopyga agassizi",NA,NA,NA,"LC","Actinopyga agassizii"
"152","us",180337,"Actinopyga mauritiana",NA,NA,NA,"VU","Actinopyga mauritiana"
"153","us",180338,"Actinopyga obesa",NA,NA,NA,"DD","Actinopyga obesa"
"154","us",22693264,"Actitis hypoleucos",NA,NA,NA,"LC","Actitis hypoleucos"
"155","us",22693277,"Actitis macularius",NA,NA,NA,"LC","Actitis macularius"
"156","us",185922,"Acyrtops beryllinus",NA,NA,NA,"LC","Acyrtops beryllinus"
"157","us",513,"Adelocosa anops",NA,NA,NA,"EN","Adelocosa anops"
"158","us",91150579,"Adenophorus epigaeus",NA,NA,NA,"EN","Adenophorus epigaeus"
"159","us",78772698,"Adenophorus periens",NA,NA,NA,"CR","Adenophorus periens"
"160","us",164082,"Adiantum capillus-veneris",NA,NA,NA,"LC","Adiantum capillus-veneris"
"161","us",22696634,"Aechmophorus clarkii",NA,NA,NA,"LC","Aechmophorus clarkii"
"162","us",22696631,"Aechmophorus occidentalis",NA,NA,NA,"LC","Aechmophorus occidentalis"
"163","us",526,"Aegialia concinna",NA,NA,NA,"VU","Aegialia concinna"
"164","us",527,"Aegialia crescenta",NA,NA,NA,"VU","Aegialia crescenta"
"165","us",172098,"Aegilops ventricosa",NA,NA,NA,"LC","Aegilops ventricosa"
"166","us",22689366,"Aegolius acadicus",NA,NA,NA,"LC","Aegolius acadicus"
"167","us",22689362,"Aegolius funereus",NA,NA,NA,"LC","Aegolius funereus"
"168","us",22728583,"Aerodramus bartschi",NA,NA,NA,"EN","Aerodramus bartschi"
"169","us",22686733,"Aeronautes saxatalis",NA,NA,NA,"LC","Aeronautes saxatalis"
"170","us",168855,"Aeschynomene indica",NA,NA,NA,"LC","Aeschynomene indica"
"171","us",60757580,"Aesculus flava",NA,NA,NA,"LC","Aesculus flava"
"172","us",60757589,"Aesculus glabra",NA,NA,NA,"LC","Aesculus glabra"
"173","us",165074,"Aeshna canadensis",NA,NA,NA,"LC","Aeshna canadensis"
"174","us",165016,"Aeshna clepsydra",NA,NA,NA,"LC","Aeshna clepsydra"
"175","us",50959122,"Aeshna constricta",NA,NA,NA,"LC","Aeshna constricta"
"176","us",50959126,"Aeshna eremita",NA,NA,NA,"LC","Aeshna eremita"
"177","us",50959132,"Aeshna interrupta",NA,NA,NA,"LC","Aeshna interrupta"
"178","us",165518,"Aeshna juncea",NA,NA,NA,"LC","Aeshna juncea"
"179","us",164945,"Aeshna palmata",NA,NA,NA,"LC","Aeshna palmata"
"180","us",562,"Aeshna persephone",NA,NA,NA,"LC","Aeshna persephone"
"181","us",50959142,"Aeshna septentrionalis",NA,NA,NA,"LC","Aeshna septentrionalis"
"182","us",50959145,"Aeshna sitchensis",NA,NA,NA,"LC","Aeshna sitchensis"
"183","us",165508,"Aeshna subarctica",NA,NA,NA,"LC","Aeshna subarctica"
"184","us",50959214,"Aeshna tuberculifera",NA,NA,NA,"LC","Aeshna tuberculifera"
"185","us",165055,"Aeshna umbrosa",NA,NA,NA,"LC","Aeshna umbrosa"
"186","us",50959222,"Aeshna verticalis",NA,NA,NA,"LC","Aeshna verticalis"
"187","us",50959232,"Aeshna walkeri",NA,NA,NA,"LC","Aeshna walkeri"
"188","us",22694915,"Aethia cristatella",NA,NA,NA,"LC","Aethia cristatella"
"189","us",22694906,"Aethia psittacula",NA,NA,NA,"LC","Aethia psittacula"
"190","us",22694921,"Aethia pusilla",NA,NA,NA,"LC","Aethia pusilla"
"191","us",22694918,"Aethia pygmaea",NA,NA,NA,"LC","Aethia pygmaea"
"192","us",39415,"Aetobatus narinari",NA,NA,NA,"NT","Aetobatus narinari"
"193","us",42566169,"Aetobatus ocellatus",NA,NA,NA,"VU","Aetobatus ocellatus"
"194","us",133535,"Agaricia agaricites",NA,NA,NA,"LC","Agaricia agaricites"
"195","us",133153,"Agaricia fragilis",NA,NA,NA,"DD","Agaricia fragilis"
"196","us",133288,"Agaricia grahamae",NA,NA,NA,"LC","Agaricia grahamae"
"197","us",133255,"Agaricia humilis",NA,NA,NA,"LC","Agaricia humilis"
"198","us",132970,"Agaricia lamarcki",NA,NA,NA,"VU","Agaricia lamarcki"
"199","us",133100,"Agaricia undata",NA,NA,NA,"DD","Agaricia undata"
"200","us",75093504,"Agaricus pattersoniae",NA,NA,NA,"VU","Agaricus pattersoniae"
"201","us",44393414,"Agave lechuguilla",NA,NA,NA,"LC","Agave lechuguilla"
"202","us",22724206,"Agelaius humeralis",NA,NA,NA,"LC","Agelaius humeralis"
"203","us",22724191,"Agelaius phoeniceus",NA,NA,NA,"LC","Agelaius phoeniceus"
"204","us",22724196,"Agelaius tricolor",NA,NA,NA,"EN","Agelaius tricolor"
"205","us",64297,"Agkistrodon contortrix",NA,NA,NA,"LC","Agkistrodon contortrix"
"206","us",64298,"Agkistrodon piscivorus",NA,NA,NA,"LC","Agkistrodon piscivorus"
"207","us",693,"Aglaodiaptomus kingsburyae",NA,NA,NA,"VU","Aglaodiaptomus kingsburyae"
"208","us",694,"Aglaodiaptomus marshianus",NA,NA,NA,"VU","Aglaodiaptomus marshianus"
"209","us",39312,"Aglaothorax longipennis",NA,NA,NA,"CR","Aglaothorax longipennis"
"210","us",192943,"Agonostomus monticola",NA,NA,NA,"LC","Dajaus monticola"
"211","us",191246,"Agosia chrysogaster",NA,NA,NA,"LC","Agosia chrysogaster"
"212","us",64262084,"Agrostis aequivalvis",NA,NA,NA,"LC","Agrostis aequivalvis"
"213","us",167861,"Agrostis canina",NA,NA,NA,"LC","Agrostis canina"
"214","us",64262122,"Agrostis clavata",NA,NA,NA,"LC","Agrostis clavata"
"215","us",64263217,"Agrostis perennans",NA,NA,NA,"LC","Agrostis perennans"
"216","us",164020,"Agrostis stolonifera",NA,NA,NA,"LC","Agrostis stolonifera"
"217","us",704,"Agrotis crinigera",NA,NA,NA,"EX","Agrotis crinigera"
"218","us",705,"Agrotis fasciata",NA,NA,NA,"EX","Agrotis fasciata"
"219","us",706,"Agrotis kerri",NA,NA,NA,"EX","Agrotis kerri"
"220","us",707,"Agrotis laysanensis",NA,NA,NA,"EX","Agrotis laysanensis"
"221","us",708,"Agrotis photophila",NA,NA,NA,"EX","Agrotis photophila"
"222","us",709,"Agrotis procellaris",NA,NA,NA,"EX","Agrotis procellaris"
"223","us",199311,"Ahlia egmontis",NA,NA,NA,"LC","Ahlia egmontis"
"224","us",13485141,"Ahliesaurus berryi",NA,NA,NA,"LC","Ahliesaurus berryi"
"225","us",22721288,"Aimophila ruficeps",NA,NA,NA,"LC","Aimophila ruficeps"
"226","us",22680104,"Aix sponsa",NA,NA,NA,"LC","Aix sponsa"
"227","us",103823212,"Akialoa ellisiana",NA,NA,NA,"EX","Akialoa ellisiana"
"228","us",103823431,"Akialoa lanaiensis",NA,NA,NA,"EX","Akialoa lanaiensis"
"229","us",22728910,"Akialoa obscura",NA,NA,NA,"EX","Akialoa obscura"
"230","us",103823250,"Akialoa stejnegeri",NA,NA,NA,"EX","Akialoa stejnegeri"
"231","us",773,"Alasmidonta arcula",NA,NA,NA,"EN","Alasmidonta arcula"
"232","us",774,"Alasmidonta atropurpurea",NA,NA,NA,"EN","Alasmidonta atropurpurea"
"233","us",775,"Alasmidonta heterodon",NA,NA,NA,"VU","Alasmidonta heterodon"
"234","us",779,"Alasmidonta marginata",NA,NA,NA,"LC","Alasmidonta marginata"
"235","us",780,"Alasmidonta mccordi",NA,NA,NA,"EX","Alasmidonta mccordi"
"236","us",776,"Alasmidonta raveneliana",NA,NA,NA,"CR","Alasmidonta raveneliana"
"237","us",777,"Alasmidonta robusta",NA,NA,NA,"EX","Alasmidonta robusta"
"238","us",189371,"Alasmidonta triangulata",NA,NA,NA,"EN","Alasmidonta triangulata"
"239","us",189106,"Alasmidonta undulata",NA,NA,NA,"LC","Alasmidonta undulata"
"240","us",781,"Alasmidonta varicosa",NA,NA,NA,"VU","Alasmidonta varicosa"
"241","us",188990,"Alasmidonta viridis",NA,NA,NA,"LC","Alasmidonta viridis"
"242","us",778,"Alasmidonta wrightiana",NA,NA,NA,"EX","Alasmidonta wrightiana"
"243","us",102998555,"Alauda arvensis",NA,NA,NA,"LC","Alauda arvensis"
"244","us",194298,"Albula argentea",NA,NA,NA,"DD","Albula argentea"
"245","us",178043,"Albula esuncula",NA,NA,NA,"LC","Albula esuncula"
"246","us",194299,"Albula glossodonta",NA,NA,NA,"VU","Albula glossodonta"
"247","us",194302,"Albula virgata",NA,NA,NA,"DD","Albula virgata"
"248","us",194303,"Albula vulpes",NA,NA,NA,"NT","Albula vulpes"
"249","us",22694852,"Alca torda",NA,NA,NA,"NT","Alca torda"
"250","us",56003281,"Alces alces",NA,NA,NA,"LC","Alces alces"
"251","us",190356,"Aldrovandia affinis",NA,NA,NA,"LC","Aldrovandia affinis"
"252","us",190486,"Aldrovandia gracilis",NA,NA,NA,"LC","Aldrovandia gracilis"
"253","us",190312,"Aldrovandia oleosa",NA,NA,NA,"LC","Aldrovandia oleosa"
"254","us",195838,"Aldrovandia phalacra",NA,NA,NA,"LC","Aldrovandia phalacra"
"255","us",155014,"Alectis ciliaris",NA,NA,NA,"LC","Alectis ciliaris"
"256","us",22678691,"Alectoris chukar",NA,NA,NA,"LC","Alectoris chukar"
"257","us",44144,"Alectryon macrococcus",NA,NA,NA,"CR","Alectryon macrococcum"
"258","us",60469186,"Alepisaurus brevirostris",NA,NA,NA,"LC","Alepisaurus brevirostris"
"259","us",154820,"Alepisaurus ferox",NA,NA,NA,"LC","Alepisaurus ferox"
"260","us",15147715,"Alepocephalus agassizii",NA,NA,NA,"LC","Alepocephalus agassizii"
"261","us",15147725,"Alepocephalus australis",NA,NA,NA,"LC","Alepocephalus australis"
"262","us",15147740,"Alepocephalus bairdii",NA,NA,NA,"DD","Alepocephalus bairdii"
"263","us",18139074,"Alepocephalus productus",NA,NA,NA,"LC","Alepocephalus productus"
"264","us",18435618,"Aleurites moluccanus",NA,NA,NA,"LC","Aleurites moluccanus"
"265","us",164129,"Alisma plantago-aquatica",NA,NA,NA,"LC","Alisma plantago-aquatica"
"266","us",64263394,"Alisma subcordatum",NA,NA,NA,"LC","Alisma subcordatum"
"267","us",64263415,"Alisma triviale",NA,NA,NA,"LC","Alisma triviale"
"268","us",22694837,"Alle alle",NA,NA,NA,"LC","Alle alle"
"269","us",46583,"Alligator mississippiensis",NA,NA,NA,"LR/lc","Alligator mississippiensis"
"270","us",64263485,"Allium geyeri",NA,NA,NA,"LC","Allium geyeri"
"271","us",172256,"Allium schoenoprasum",NA,NA,NA,"LC","Allium schoenoprasum"
"272","us",172157,"Allium triquetrum",NA,NA,NA,"LC","Allium triquetrum"
"273","us",80603050,"Allium validum",NA,NA,NA,"LC","Allium validum"
"274","us",185174,"Alloclinus holderi",NA,NA,NA,"LC","Alloclinus holderi"
"275","us",873,"Allocrangonyx hubrichti",NA,NA,NA,"VU","Allocrangonyx hubrichti"
"276","us",874,"Allocrangonyx pellucidus",NA,NA,NA,"VU","Allocrangonyx pellucidus"
"277","us",879,"Alloperla roberti",NA,NA,NA,"EX","Alloperla roberti"
"278","us",170349,"Allothunnus fallai",NA,NA,NA,"LC","Allothunnus fallai"
"279","us",51203944,"Alnus alnobetula",NA,NA,NA,"LC","Alnus alnobetula"
"280","us",63517,"Alnus glutinosa",NA,NA,NA,"LC","Alnus glutinosa"
"281","us",194472,"Alnus incana",NA,NA,NA,"LC","Alnus incana"
"282","us",34053,"Alnus maritima",NA,NA,NA,"EN","Alnus maritima"
"283","us",194649,"Alnus nepalensis",NA,NA,NA,"LC","Alnus nepalensis"
"284","us",194580,"Alnus oblongifolia",NA,NA,NA,"LC","Alnus oblongifolia"
"285","us",194648,"Alnus rhombifolia",NA,NA,NA,"LC","Alnus rhombifolia"
"286","us",194598,"Alnus rubra",NA,NA,NA,"LC","Alnus rubra"
"287","us",194664,"Alnus serrulata",NA,NA,NA,"LC","Alnus serrulata"
"288","us",164156,"Alopecurus aequalis",NA,NA,NA,"LC","Alopecurus aequalis"
"289","us",64263649,"Alopecurus carolinianus",NA,NA,NA,"LC","Alopecurus carolinianus"
"290","us",58084855,"Alopecurus magellanicus",NA,NA,NA,"LC","Alopecurus magellanicus"
"291","us",161597,"Alopias pelagicus",NA,NA,NA,"VU","Alopias pelagicus"
"292","us",161696,"Alopias superciliosus",NA,NA,NA,"VU","Alopias superciliosus"
"293","us",39339,"Alopias vulpinus",NA,NA,NA,"VU","Alopias vulpinus"
"294","us",201946,"Alosa aestivalis",NA,NA,NA,"VU","Alosa aestivalis"
"295","us",908,"Alosa alabamae",NA,NA,NA,"DD","Alosa alabamae"
"296","us",196673,"Alosa chrysochloris",NA,NA,NA,"LC","Alosa chrysochloris"
"297","us",201947,"Alosa mediocris",NA,NA,NA,"LC","Alosa mediocris"
"298","us",201948,"Alosa pseudoharengus",NA,NA,NA,"LC","Alosa pseudoharengus"
"299","us",191206,"Alosa sapidissima",NA,NA,NA,"LC","Alosa sapidissima"
"300","us",132764,"Alphestes afer",NA,NA,NA,"LC","Alphestes afer"
"301","us",44076,"Alphitonia ponderosa",NA,NA,NA,"VU","Alphitonia ponderosa"
"302","us",44073,"Alsinidendron lychnoides",NA,NA,NA,"CR","Schiedea lychnoides"
"303","us",44058,"Alsinidendron obovatum",NA,NA,NA,"CR","Schiedea obovata"
"304","us",44110,"Alsinidendron trinerve",NA,NA,NA,"CR","Schiedea trinervis"
"305","us",44111,"Alsinidendron viscosum",NA,NA,NA,"CR","Schiedea viscosa"
"306","us",164480,"Alternanthera sessilis",NA,NA,NA,"LC","Alternanthera sessilis"
"307","us",190333,"Aluterus heudelotii",NA,NA,NA,"LC","Aluterus heudelotii"
"308","us",16404943,"Aluterus monoceros",NA,NA,NA,"LC","Aluterus monoceros"
"309","us",16404974,"Aluterus schoepfii",NA,NA,NA,"LC","Aluterus schoepfii"
"310","us",190125,"Aluterus scriptus",NA,NA,NA,"LC","Aluterus scriptus"
"311","us",22719614,"Amandava amandava",NA,NA,NA,"LC","Amandava amandava"
"312","us",95383179,"Amanita morrisii",NA,NA,NA,"VU","Amanita morrisii"
"313","us",95383221,"Amanita ristichii",NA,NA,NA,"VU","Amanita ristichii"
"314","us",95383287,"Amanita sp.",NA,NA,NA,"DD","Amanita sp."
"315","us",44077,"Amaranthus brownii",NA,NA,NA,"EX","Amaranthus brownii"
"316","us",21610439,"Amaranthus tuberculatus",NA,NA,NA,"LC","Amaranthus tuberculatus"
"317","us",989,"Amastra albolabris",NA,NA,NA,"EX",NA
"318","us",990,"Amastra cornea",NA,NA,NA,"EX",NA
"319","us",991,"Amastra crassilabrum",NA,NA,NA,"EX",NA
"320","us",985,"Amastra cylindrica",NA,NA,NA,"CR","Amastra cylindrica"
"321","us",992,"Amastra elongata",NA,NA,NA,"EX","Amastus elongata"
