,count,country,result.taxonid,result.scientific_name,result.subspecies,result.rank,result.subpopulation,result.category
84,10293,us,193860,Acer rubrum,NA,NA,NA,LC
85,10293,us,193862,Acer saccharinum,NA,NA,NA,LC
86,10293,us,193863,Acer saccharum,NA,NA,NA,LC
87,10293,us,193872,Acer spicatum,NA,NA,NA,LC
88,10293,us,167,Achatinella abbreviata,NA,NA,NA,EX
89,10293,us,168,Achatinella apexfulva,NA,NA,NA,CR
90,10293,us,211,Achatinella apexfulva ssp. vittata,vittata,ssp.,NA,EX
91,10293,us,169,Achatinella bellula,NA,NA,NA,CR
92,10293,us,170,Achatinella buddii,NA,NA,NA,EX
93,10293,us,171,Achatinella bulimoides,NA,NA,NA,CR
94,10293,us,210,Achatinella bulimoides ssp. rosea,rosea,ssp.,NA,EX
95,10293,us,172,Achatinella byronii,NA,NA,NA,CR
96,10293,us,173,Achatinella caesia,NA,NA,NA,EX
97,10293,us,174,Achatinella casta,NA,NA,NA,EX
98,10293,us,175,Achatinella cestus,NA,NA,NA,CR
99,10293,us,176,Achatinella concavospira,NA,NA,NA,CR
100,10293,us,177,Achatinella curta,NA,NA,NA,CR
101,10293,us,178,Achatinella decipiens,NA,NA,NA,CR
102,10293,us,179,Achatinella decora,NA,NA,NA,EX
103,10293,us,180,Achatinella dimorpha,NA,NA,NA,EX
104,10293,us,181,Achatinella elegans,NA,NA,NA,EX
105,10293,us,182,Achatinella fulgens,NA,NA,NA,CR
106,10293,us,183,Achatinella fuscobasis,NA,NA,NA,CR
107,10293,us,184,Achatinella juddii,NA,NA,NA,EX
108,10293,us,185,Achatinella juncea,NA,NA,NA,EX
109,10293,us,186,Achatinella lehuiensis,NA,NA,NA,EX
110,10293,us,209,Achatinella leucorrhaphe,NA,NA,NA,CR
111,10293,us,188,Achatinella lila,NA,NA,NA,CR
112,10293,us,189,Achatinella livida,NA,NA,NA,EX
113,10293,us,190,Achatinella lorata,NA,NA,NA,CR
114,10293,us,191,Achatinella mustelina,NA,NA,NA,CR
115,10293,us,192,Achatinella papyracea,NA,NA,NA,EX
116,10293,us,193,Achatinella phaeozona,NA,NA,NA,CR
117,10293,us,194,Achatinella pulcherrima,NA,NA,NA,CR
118,10293,us,195,Achatinella pupukanioe,NA,NA,NA,CR
119,10293,us,197,Achatinella sowerbyana,NA,NA,NA,CR
120,10293,us,198,Achatinella spaldingi,NA,NA,NA,EX
121,10293,us,199,Achatinella stewartii,NA,NA,NA,CR
122,10293,us,200,Achatinella swiftii,NA,NA,NA,CR
123,10293,us,201,Achatinella taeniolata,NA,NA,NA,CR
124,10293,us,202,Achatinella thaanumi,NA,NA,NA,EX
125,10293,us,203,Achatinella turgida,NA,NA,NA,CR
126,10293,us,204,Achatinella valida,NA,NA,NA,EX
127,10293,us,205,Achatinella viridans,NA,NA,NA,CR
128,10293,us,207,Achatinella vulpina,NA,NA,NA,CR
129,10293,us,202909,Achillea millefolium,NA,NA,NA,LC
130,10293,us,193273,Achirus lineatus,NA,NA,NA,LC
131,10293,us,44074,Achyranthes atollensis,NA,NA,NA,EX
132,10293,us,44075,Achyranthes mutica,NA,NA,NA,CR
133,10293,us,44145,Achyranthes splendens,NA,NA,NA,VU
134,10293,us,44147,Achyranthes splendens var. rotundata,rotundata,var.,NA,CR
135,10293,us,44146,Achyranthes splendens var. splendens,splendens,var.,NA,VU
136,10293,us,222,Acipenser brevirostrum,NA,NA,NA,VU
137,10293,us,223,Acipenser fulvescens,NA,NA,NA,LC
138,10293,us,233,Acipenser medirostris,NA,NA,NA,NT
139,10293,us,245,Acipenser oxyrinchus,NA,NA,NA,NT
140,10293,us,242,Acipenser oxyrinchus ssp. desotoi,desotoi,ssp.,NA,VU
141,10293,us,243,Acipenser oxyrinchus ssp. oxyrinchus,oxyrinchus,ssp.,NA,NT
142,10293,us,234,Acipenser transmontanus,NA,NA,NA,LC
143,10293,us,257,Acipenser transmontanus Kootenai River subpopulation,NA,NA,Kootenai River subpopulation,EN
144,10293,us,168639,Acorus calamus,NA,NA,NA,LC
145,10293,us,22710921,Acridotheres tristis,NA,NA,NA,LC
146,10293,us,55286,Acris crepitans,NA,NA,NA,LC
147,10293,us,55287,Acris gryllus,NA,NA,NA,LC
148,10293,us,22714797,Acrocephalus familiaris,NA,NA,NA,CR
149,10293,us,201940,Acrocheilus alutaceus,NA,NA,NA,LC
150,10293,us,314,Acrolophitus pulchellus,NA,NA,NA,VU
151,10293,us,315,Acroloxus coloradensis,NA,NA,NA,NT
152,10293,us,155234,Acromycter perturbator,NA,NA,NA,LC
153,10293,us,133381,Acropora cervicornis,NA,NA,NA,CR
154,10293,us,133006,Acropora palmata,NA,NA,NA,CR
155,10293,us,177110,Acrostichum aureum,NA,NA,NA,LC
156,10293,us,178810,Acrostichum danaeifolium,NA,NA,NA,LC
157,10293,us,4969,Actinemys marmorata,NA,NA,NA,VU
158,10293,us,189504,Actinonaias ligamentina,NA,NA,NA,LC
159,10293,us,511,Actinonaias pectorosa,NA,NA,NA,LR/nt
160,10293,us,180353,Actinopyga agassizi,NA,NA,NA,LC
161,10293,us,180337,Actinopyga mauritiana,NA,NA,NA,VU
162,10293,us,180338,Actinopyga obesa,NA,NA,NA,DD
163,10293,us,22693264,Actitis hypoleucos,NA,NA,NA,LC
164,10293,us,22693277,Actitis macularius,NA,NA,NA,LC
165,10293,us,185922,Acyrtops beryllinus,NA,NA,NA,LC
166,10293,us,513,Adelocosa anops,NA,NA,NA,EN
167,10293,us,91150579,Adenophorus epigaeus,NA,NA,NA,EN
168,10293,us,78772698,Adenophorus periens,NA,NA,NA,CR
169,10293,us,164082,Adiantum capillus-veneris,NA,NA,NA,LC
170,10293,us,22696634,Aechmophorus clarkii,NA,NA,NA,LC
171,10293,us,22696631,Aechmophorus occidentalis,NA,NA,NA,LC
172,10293,us,526,Aegialia concinna,NA,NA,NA,VU
173,10293,us,527,Aegialia crescenta,NA,NA,NA,VU
174,10293,us,172098,Aegilops ventricosa,NA,NA,NA,LC
175,10293,us,22689366,Aegolius acadicus,NA,NA,NA,LC
176,10293,us,22689362,Aegolius funereus,NA,NA,NA,LC
177,10293,us,22728583,Aerodramus bartschi,NA,NA,NA,EN
178,10293,us,22686733,Aeronautes saxatalis,NA,NA,NA,LC
179,10293,us,168855,Aeschynomene indica,NA,NA,NA,LC
180,10293,us,60757580,Aesculus flava,NA,NA,NA,LC
181,10293,us,60757589,Aesculus glabra,NA,NA,NA,LC
182,10293,us,165074,Aeshna canadensis,NA,NA,NA,LC
183,10293,us,165016,Aeshna clepsydra,NA,NA,NA,LC
184,10293,us,50959122,Aeshna constricta,NA,NA,NA,LC
185,10293,us,50959126,Aeshna eremita,NA,NA,NA,LC
186,10293,us,50959132,Aeshna interrupta,NA,NA,NA,LC
187,10293,us,165518,Aeshna juncea,NA,NA,NA,LC
188,10293,us,164945,Aeshna palmata,NA,NA,NA,LC
189,10293,us,562,Aeshna persephone,NA,NA,NA,LC
190,10293,us,50959142,Aeshna septentrionalis,NA,NA,NA,LC
191,10293,us,50959145,Aeshna sitchensis,NA,NA,NA,LC
192,10293,us,165508,Aeshna subarctica,NA,NA,NA,LC
193,10293,us,50959214,Aeshna tuberculifera,NA,NA,NA,LC
194,10293,us,165055,Aeshna umbrosa,NA,NA,NA,LC
195,10293,us,50959222,Aeshna verticalis,NA,NA,NA,LC
196,10293,us,50959232,Aeshna walkeri,NA,NA,NA,LC
197,10293,us,22694915,Aethia cristatella,NA,NA,NA,LC
198,10293,us,22694906,Aethia psittacula,NA,NA,NA,LC
199,10293,us,22694921,Aethia pusilla,NA,NA,NA,LC
200,10293,us,22694918,Aethia pygmaea,NA,NA,NA,LC
201,10293,us,39415,Aetobatus narinari,NA,NA,NA,NT
202,10293,us,42566169,Aetobatus ocellatus,NA,NA,NA,VU
203,10293,us,133535,Agaricia agaricites,NA,NA,NA,LC
204,10293,us,133153,Agaricia fragilis,NA,NA,NA,DD
205,10293,us,133288,Agaricia grahamae,NA,NA,NA,LC
206,10293,us,133255,Agaricia humilis,NA,NA,NA,LC
207,10293,us,132970,Agaricia lamarcki,NA,NA,NA,VU
208,10293,us,133100,Agaricia undata,NA,NA,NA,DD
209,10293,us,75093504,Agaricus pattersoniae,NA,NA,NA,VU
210,10293,us,44393414,Agave lechuguilla,NA,NA,NA,LC
211,10293,us,22724206,Agelaius humeralis,NA,NA,NA,LC
212,10293,us,22724191,Agelaius phoeniceus,NA,NA,NA,LC
213,10293,us,22724196,Agelaius tricolor,NA,NA,NA,EN
214,10293,us,64297,Agkistrodon contortrix,NA,NA,NA,LC
215,10293,us,64298,Agkistrodon piscivorus,NA,NA,NA,LC
216,10293,us,693,Aglaodiaptomus kingsburyae,NA,NA,NA,VU
217,10293,us,694,Aglaodiaptomus marshianus,NA,NA,NA,VU
218,10293,us,39312,Aglaothorax longipennis,NA,NA,NA,CR
219,10293,us,192943,Agonostomus monticola,NA,NA,NA,LC
220,10293,us,191246,Agosia chrysogaster,NA,NA,NA,LC
221,10293,us,64262084,Agrostis aequivalvis,NA,NA,NA,LC
222,10293,us,167861,Agrostis canina,NA,NA,NA,LC
223,10293,us,64262122,Agrostis clavata,NA,NA,NA,LC
224,10293,us,64263217,Agrostis perennans,NA,NA,NA,LC
225,10293,us,164020,Agrostis stolonifera,NA,NA,NA,LC
226,10293,us,704,Agrotis crinigera,NA,NA,NA,EX
227,10293,us,705,Agrotis fasciata,NA,NA,NA,EX
228,10293,us,706,Agrotis kerri,NA,NA,NA,EX
229,10293,us,707,Agrotis laysanensis,NA,NA,NA,EX
230,10293,us,708,Agrotis photophila,NA,NA,NA,EX
231,10293,us,709,Agrotis procellaris,NA,NA,NA,EX
232,10293,us,199311,Ahlia egmontis,NA,NA,NA,LC
233,10293,us,13485141,Ahliesaurus berryi,NA,NA,NA,LC
234,10293,us,22721288,Aimophila ruficeps,NA,NA,NA,LC
235,10293,us,22680104,Aix sponsa,NA,NA,NA,LC
236,10293,us,103823212,Akialoa ellisiana,NA,NA,NA,EX
237,10293,us,103823431,Akialoa lanaiensis,NA,NA,NA,EX
238,10293,us,22728910,Akialoa obscura,NA,NA,NA,EX
239,10293,us,103823250,Akialoa stejnegeri,NA,NA,NA,EX
240,10293,us,773,Alasmidonta arcula,NA,NA,NA,EN
241,10293,us,774,Alasmidonta atropurpurea,NA,NA,NA,EN
242,10293,us,775,Alasmidonta heterodon,NA,NA,NA,VU
243,10293,us,779,Alasmidonta marginata,NA,NA,NA,LC
244,10293,us,780,Alasmidonta mccordi,NA,NA,NA,EX
245,10293,us,776,Alasmidonta raveneliana,NA,NA,NA,CR
246,10293,us,777,Alasmidonta robusta,NA,NA,NA,EX
247,10293,us,189371,Alasmidonta triangulata,NA,NA,NA,EN
248,10293,us,189106,Alasmidonta undulata,NA,NA,NA,LC
249,10293,us,781,Alasmidonta varicosa,NA,NA,NA,VU
250,10293,us,188990,Alasmidonta viridis,NA,NA,NA,LC
251,10293,us,778,Alasmidonta wrightiana,NA,NA,NA,EX
252,10293,us,102998555,Alauda arvensis,NA,NA,NA,LC
253,10293,us,194298,Albula argentea,NA,NA,NA,DD
254,10293,us,178043,Albula esuncula,NA,NA,NA,LC
255,10293,us,194299,Albula glossodonta,NA,NA,NA,VU
256,10293,us,194302,Albula virgata,NA,NA,NA,DD
257,10293,us,194303,Albula vulpes,NA,NA,NA,NT
258,10293,us,22694852,Alca torda,NA,NA,NA,NT
259,10293,us,56003281,Alces alces,NA,NA,NA,LC
260,10293,us,190356,Aldrovandia affinis,NA,NA,NA,LC
261,10293,us,190486,Aldrovandia gracilis,NA,NA,NA,LC
262,10293,us,190312,Aldrovandia oleosa,NA,NA,NA,LC
263,10293,us,195838,Aldrovandia phalacra,NA,NA,NA,LC
264,10293,us,155014,Alectis ciliaris,NA,NA,NA,LC
265,10293,us,22678691,Alectoris chukar,NA,NA,NA,LC
266,10293,us,44144,Alectryon macrococcus,NA,NA,NA,CR
267,10293,us,33574,Alectryon macrococcus var. auwahiensis,auwahiensis,var.,NA,CR
268,10293,us,34045,Alectryon macrococcus var. macrococcus,macrococcus,var.,NA,CR
269,10293,us,60469186,Alepisaurus brevirostris,NA,NA,NA,LC
270,10293,us,154820,Alepisaurus ferox,NA,NA,NA,LC
271,10293,us,15147715,Alepocephalus agassizii,NA,NA,NA,LC
272,10293,us,15147725,Alepocephalus australis,NA,NA,NA,LC
273,10293,us,15147740,Alepocephalus bairdii,NA,NA,NA,DD
274,10293,us,18139074,Alepocephalus productus,NA,NA,NA,LC
275,10293,us,18435618,Aleurites moluccanus,NA,NA,NA,LC
276,10293,us,164129,Alisma plantago-aquatica,NA,NA,NA,LC
277,10293,us,64263394,Alisma subcordatum,NA,NA,NA,LC
278,10293,us,64263415,Alisma triviale,NA,NA,NA,LC
279,10293,us,22694837,Alle alle,NA,NA,NA,LC
280,10293,us,46583,Alligator mississippiensis,NA,NA,NA,LR/lc
281,10293,us,64263485,Allium geyeri,NA,NA,NA,LC
282,10293,us,172256,Allium schoenoprasum,NA,NA,NA,LC
283,10293,us,172157,Allium triquetrum,NA,NA,NA,LC
284,10293,us,80603050,Allium validum,NA,NA,NA,LC
285,10293,us,185174,Alloclinus holderi,NA,NA,NA,LC
286,10293,us,873,Allocrangonyx hubrichti,NA,NA,NA,VU
287,10293,us,874,Allocrangonyx pellucidus,NA,NA,NA,VU
288,10293,us,879,Alloperla roberti,NA,NA,NA,EX
289,10293,us,170349,Allothunnus fallai,NA,NA,NA,LC
290,10293,us,51203944,Alnus alnobetula,NA,NA,NA,LC
291,10293,us,63517,Alnus glutinosa,NA,NA,NA,LC
292,10293,us,194472,Alnus incana,NA,NA,NA,LC
293,10293,us,34053,Alnus maritima,NA,NA,NA,EN
294,10293,us,194649,Alnus nepalensis,NA,NA,NA,LC
295,10293,us,194580,Alnus oblongifolia,NA,NA,NA,LC
296,10293,us,194648,Alnus rhombifolia,NA,NA,NA,LC
297,10293,us,194598,Alnus rubra,NA,NA,NA,LC
298,10293,us,194664,Alnus serrulata,NA,NA,NA,LC
299,10293,us,164156,Alopecurus aequalis,NA,NA,NA,LC
300,10293,us,64263649,Alopecurus carolinianus,NA,NA,NA,LC
301,10293,us,58084855,Alopecurus magellanicus,NA,NA,NA,LC
302,10293,us,161597,Alopias pelagicus,NA,NA,NA,VU
303,10293,us,161696,Alopias superciliosus,NA,NA,NA,VU
304,10293,us,39339,Alopias vulpinus,NA,NA,NA,VU
305,10293,us,201946,Alosa aestivalis,NA,NA,NA,VU
306,10293,us,908,Alosa alabamae,NA,NA,NA,DD
307,10293,us,196673,Alosa chrysochloris,NA,NA,NA,LC
308,10293,us,201947,Alosa mediocris,NA,NA,NA,LC
309,10293,us,201948,Alosa pseudoharengus,NA,NA,NA,LC
310,10293,us,191206,Alosa sapidissima,NA,NA,NA,LC
311,10293,us,132764,Alphestes afer,NA,NA,NA,LC
312,10293,us,44076,Alphitonia ponderosa,NA,NA,NA,VU
313,10293,us,44073,Alsinidendron lychnoides,NA,NA,NA,CR
314,10293,us,44058,Alsinidendron obovatum,NA,NA,NA,CR
315,10293,us,44110,Alsinidendron trinerve,NA,NA,NA,CR
316,10293,us,44111,Alsinidendron viscosum,NA,NA,NA,CR
317,10293,us,164480,Alternanthera sessilis,NA,NA,NA,LC
318,10293,us,190333,Aluterus heudelotii,NA,NA,NA,LC
319,10293,us,16404943,Aluterus monoceros,NA,NA,NA,LC
320,10293,us,16404974,Aluterus schoepfii,NA,NA,NA,LC
321,10293,us,190125,Aluterus scriptus,NA,NA,NA,LC
322,10293,us,22719614,Amandava amandava,NA,NA,NA,LC
323,10293,us,95383179,Amanita morrisii,NA,NA,NA,VU
324,10293,us,95383221,Amanita ristichii,NA,NA,NA,VU
325,10293,us,95383287,Amanita sp. nov. 'zayantensis',NA,NA,NA,DD
326,10293,us,44077,Amaranthus brownii,NA,NA,NA,EX
327,10293,us,21610439,Amaranthus tuberculatus,NA,NA,NA,LC
328,10293,us,989,Amastra albolabris,NA,NA,NA,EX
329,10293,us,990,Amastra cornea,NA,NA,NA,EX
330,10293,us,991,Amastra crassilabrum,NA,NA,NA,EX
331,10293,us,985,Amastra cylindrica,NA,NA,NA,CR
332,10293,us,992,Amastra elongata,NA,NA,NA,EX
333,10293,us,993,Amastra forbesi,NA,NA,NA,EX
334,10293,us,986,Amastra micans,NA,NA,NA,CR
335,10293,us,994,Amastra pellucida,NA,NA,NA,EX
336,10293,us,995,Amastra porcus,NA,NA,NA,EX
337,10293,us,996,Amastra reticulata,NA,NA,NA,EX
338,10293,us,987,Amastra rubens,NA,NA,NA,CR
339,10293,us,988,Amastra spirizona,NA,NA,NA,CR
340,10293,us,997,Amastra subrostrata,NA,NA,NA,EX
341,10293,us,998,Amastra subsoror,NA,NA,NA,EX
342,10293,us,999,Amastra tenuispira,NA,NA,NA,EX
343,10293,us,1000,Amastra umbilicata,NA,NA,NA,EX
344,10293,us,22687583,Amazilia beryllina,NA,NA,NA,LC
345,10293,us,22687603,Amazilia rutila,NA,NA,NA,LC
346,10293,us,22730168,Amazilia tzacatl,NA,NA,NA,LC
347,10293,us,22687624,Amazilia violiceps,NA,NA,NA,LC
348,10293,us,22687606,Amazilia yucatanensis,NA,NA,NA,LC
349,10293,us,22686259,Amazona viridigenalis,NA,NA,NA,EN
350,10293,us,172359,Ambassis nalua,NA,NA,NA,LC
351,10293,us,188904,Amblema elliottii,NA,NA,NA,LC
352,10293,us,1076,Amblema neislerii,NA,NA,NA,CR
353,10293,us,203724,Amblema plicata,NA,NA,NA,LC
354,10293,us,202423,Ambloplites ariommus,NA,NA,NA,LC
355,10293,us,1078,Ambloplites cavifrons,NA,NA,NA,LC
356,10293,us,202424,Ambloplites constellatus,NA,NA,NA,LC
357,10293,us,202425,Ambloplites rupestris,NA,NA,NA,LC
358,10293,us,67996575,Amblycirrhitus bimacula,NA,NA,NA,LC
359,10293,us,190418,Amblycirrhitus pinos,NA,NA,NA,LC
360,10293,us,1079,Amblyopsis rosae,NA,NA,NA,NT
361,10293,us,1080,Amblyopsis spelaea,NA,NA,NA,NT
362,10293,us,161452,Amblyraja badia,NA,NA,NA,LC
363,10293,us,161491,Amblyraja jenseni,NA,NA,NA,LC
364,10293,us,161542,Amblyraja radiata,NA,NA,NA,VU
365,10293,us,59052,Ambystoma annulatum,NA,NA,NA,LC
366,10293,us,59053,Ambystoma barbouri,NA,NA,NA,NT
367,10293,us,136128,Ambystoma bishopi,NA,NA,NA,VU
368,10293,us,1098,Ambystoma californiense,NA,NA,NA,VU
369,10293,us,1099,Ambystoma cingulatum,NA,NA,NA,VU
370,10293,us,59057,Ambystoma gracile,NA,NA,NA,LC
371,10293,us,59059,Ambystoma jeffersonianum,NA,NA,NA,LC
372,10293,us,59060,Ambystoma laterale,NA,NA,NA,LC
373,10293,us,59062,Ambystoma mabeei,NA,NA,NA,LC
374,10293,us,59063,Ambystoma macrodactylum,NA,NA,NA,LC
375,10293,us,59064,Ambystoma maculatum,NA,NA,NA,LC
376,10293,us,199970,Ambystoma mavortium,NA,NA,NA,LC
377,10293,us,59065,Ambystoma opacum,NA,NA,NA,LC
378,10293,us,59069,Ambystoma talpoideum,NA,NA,NA,LC
379,10293,us,59071,Ambystoma texanum,NA,NA,NA,LC
380,10293,us,83293207,Ambystoma tigrinum,NA,NA,NA,LC
381,10293,us,202672,Ameiurus brunneus,NA,NA,NA,LC
382,10293,us,202673,Ameiurus catus,NA,NA,NA,LC
383,10293,us,202674,Ameiurus melas,NA,NA,NA,LC
384,10293,us,202675,Ameiurus natalis,NA,NA,NA,LC
385,10293,us,202676,Ameiurus nebulosus,NA,NA,NA,LC
386,10293,us,202677,Ameiurus platycephalus,NA,NA,NA,LC
387,10293,us,202678,Ameiurus serracanthus,NA,NA,NA,LC
388,10293,us,135957919,Amelanchier alnifolia,NA,NA,NA,LC
389,10293,us,135956270,Amelanchier bartramiana,NA,NA,NA,LC
390,10293,us,135957978,Amelanchier canadensis,NA,NA,NA,LC
391,10293,us,135957854,Amelanchier interior,NA,NA,NA,LC
392,10293,us,135956199,Amelanchier laevis,NA,NA,NA,LC
393,10293,us,201942,Amia calva,NA,NA,NA,LC
394,10293,us,164059,Ammannia auriculata,NA,NA,NA,LC
395,10293,us,64263777,Ammannia robusta,NA,NA,NA,LC
396,10293,us,202426,Ammocrypta beanii,NA,NA,NA,LC
397,10293,us,202427,Ammocrypta bifascia,NA,NA,NA,LC
398,10293,us,202428,Ammocrypta clara,NA,NA,NA,VU
399,10293,us,202429,Ammocrypta meridiana,NA,NA,NA,LC
400,10293,us,8134,Ammocrypta pellucida,NA,NA,NA,LC
401,10293,us,202430,Ammocrypta vivax,NA,NA,NA,LC
402,10293,us,22721144,Ammodramus savannarum,NA,NA,NA,LC
403,10293,us,187796,Ammolabrus dicrus,NA,NA,NA,LC
404,10293,us,1146,Ammonitella yatesii,NA,NA,NA,VU
405,10293,us,1147,Ammopelmatus kelsoensis,NA,NA,NA,VU
406,10293,us,1148,Ammopelmatus muwu,NA,NA,NA,VU
407,10293,us,42399,Ammospermophilus harrisii,NA,NA,NA,LC
408,10293,us,42451,Ammospermophilus interpres,NA,NA,NA,LC
409,10293,us,42452,Ammospermophilus leucurus,NA,NA,NA,LC
410,10293,us,1149,Ammospermophilus nelsoni,NA,NA,NA,EN
411,10293,us,22721129,Ammospiza caudacuta,NA,NA,NA,EN
412,10293,us,22721135,Ammospiza leconteii,NA,NA,NA,LC
413,10293,us,22721123,Ammospiza maritima,NA,NA,NA,LC
414,10293,us,22728393,Ammospiza nelsoni,NA,NA,NA,LC
415,10293,us,1151,Ammotragus lervia,NA,NA,NA,VU
416,10293,us,40045,Amnicola cora,NA,NA,NA,VU
417,10293,us,69615713,Amnicola limosa,NA,NA,NA,LC
418,10293,us,189672,Amnicola stygius,NA,NA,NA,VU
419,10293,us,19892228,Amorpha californica,NA,NA,NA,LC
420,10293,us,19893100,Amorpha crenulata,NA,NA,NA,CR
421,10293,us,19891556,Amorpha ouachitensis,NA,NA,NA,VU
422,10293,us,51302894,Amphiagrion abbreviatum,NA,NA,NA,LC
423,10293,us,164998,Amphiagrion saucium,NA,NA,NA,LC
424,10293,us,19712646,Amphigymnas bahamensis,NA,NA,NA,LC
